2022-07-13 14:29:56.172666,pull,direction,none
2022-07-13 14:30:18.006784,pull,environmental description,-----
2022-07-13 14:30:23.074744,pull,environmental description,-----
2022-07-13 14:30:36.988736,pull,direction,none
2022-07-13 14:30:37.751404,pull,direction,none
2022-07-13 14:30:42.180085,push,common street structure,Bestemming ingesteld op Joy Espresso en meer. Heroriënteer om de richting te vinden.
2022-07-13 14:31:03.589714,pull,direction,none
2022-07-13 14:31:09.058159,pull,direction,none
2022-07-13 14:31:14.778839,pull,environmental description,U bent in een open ruimte met enkele geplante bomen.
2022-07-13 14:31:19.516078,pull,direction,none
2022-07-13 14:31:29.590696,pull,direction,none
2022-07-13 14:31:44.600291,pull,direction,none
2022-07-13 14:31:51.617096,pull,direction,none
2022-07-13 14:32:02.775789,push,common street structure,Ga door de tunnel die zich voor u bevindt.
2022-07-13 14:32:02.975852,pull,direction,none
2022-07-13 14:32:10.444447,pull,direction,none
2022-07-13 14:32:23.415865,pull,direction,none
2022-07-13 14:32:24.635520,pull,direction,none
2022-07-13 14:32:32.126220,pull,direction,none
2022-07-13 14:32:38.157990,pull,environmental description,Je bent in een tunnel onder sommige gebouwen.
2022-07-13 14:32:44.626199,pull,direction,none
2022-07-13 14:32:55.475506,pull,direction,none
2022-07-13 14:33:02.141474,pull,direction,none
2022-07-13 14:33:09.125372,pull,environmental description,U bent in een open ruimte met enkele geplante bomen.
2022-07-13 14:33:14.613640,pull,direction,none
2022-07-13 14:33:19.985596,push,common street structure,"Steek het fietspad en zebrapad voor u, over."
2022-07-13 14:33:25.678302,pull,direction,none
2022-07-13 14:33:30.925348,pull,direction,none
2022-07-13 14:33:39.934007,pull,direction,none
2022-07-13 14:33:48.441146,pull,environmental description,"Je bent op een breed voetgangerseiland met wat geplante bomen. Groene ruimte links, verkeer rechts."
2022-07-13 14:33:52.163041,push,common street structure,Steek de zebraoversteek en fietspad voor u over.
2022-07-13 14:33:59.721888,pull,direction,none
2022-07-13 14:34:08.225480,pull,direction,none
2022-07-13 14:34:08.296704,pull,direction,none
2022-07-13 14:34:17.364336,pull,environmental description,"Je bent op een breed voetgangerseiland met wat geplante bomen. Groene ruimte links, verkeer rechts."
2022-07-13 14:34:24.231735,pull,direction,none
2022-07-13 14:34:37.177561,pull,direction,none
2022-07-13 14:34:40.775966,push,turning point,Draai naar de linkerkant.
2022-07-13 14:34:49.098611,pull,direction,none
2022-07-13 14:34:58.113978,pull,direction,none
2022-07-13 14:34:58.174712,push,common street structure,"Steek de straat die zich voor je bevindt, over."
2022-07-13 14:35:07.668948,pull,direction,none
2022-07-13 14:35:14.624375,pull,direction,none
2022-07-13 14:35:22.196022,pull,direction,none
2022-07-13 14:35:27.509585,pull,direction,none
2022-07-13 14:35:33.370113,push,turning point,Draai naar de rechtkant.
2022-07-13 14:35:34.192377,pull,direction,none
2022-07-13 14:35:35.919846,push,common street structure,Loop de trap voor je op.
2022-07-13 14:35:47.740757,pull,direction,none
2022-07-13 14:35:58.253998,pull,direction,none
2022-07-13 14:36:02.616943,pull,environmental description,"Je bent op een klein voetgangerspad. Winkels aan de linkerkant, groene ruimte rechts."
2022-07-13 14:36:05.205750,push,common street structure,Bestemming aan uw linkerhand.
2022-07-13 14:36:07.754145,push,common street structure,Bestemming aan uw linkerhand.
2022-07-13 14:36:08.427780,push,common street structure,Bestemming aan uw linkerhand.
2022-07-13 14:36:08.571104,push,common street structure,Bestemming aan uw linkerhand.
2022-07-13 14:36:08.734829,push,common street structure,Bestemming aan uw linkerhand.
2022-07-13 14:36:08.885535,push,common street structure,Bestemming aan uw linkerhand.
2022-07-13 14:36:09.029556,push,common street structure,Bestemming aan uw linkerhand.
